Производитель,Модель,Критерий тяжести повреждений головы (HIC),Замедление грудной клетки,Нагрузка на левое бедро,Нагрузка на правое бедро,Место,Средство защиты,Кол-во дверей,Год выпуска,"Вес, кг",Тип кузова
Mitsubishi,Eclipse,612,40,1033,413,Пассажир,Моторизированный ремень безопасности,2,90,1177,comp
Mitsubishi,Galant,998,40,1229,526,Пассажир,Ручной ремень безопасности,4,89,1243,comp
Mitsubishi,Galant,711,53,1395,1232,Пассажир,Моторизированный ремень безопасности,4,91,1287,comp
Mitsubishi,Mirage,772,42,1367,1078,Пассажир,Моторизированный ремень безопасности,4,89,1075,lt
Mitsubishi,Montero 4x4,488,50,1001,302,Пассажир,Ручной ремень безопасности,2,88,1496,mpv
Mitsubishi,Starion,377,46,1752,1323,Пассажир,Пассивный ремень безопасности,2,87,1370,med
Mitsubishi,Wagon,713,51,1607,791,Пассажир,Ручной ремень безопасности,-,89,1561,van
Nissan,240sx,525,44,656,854,Пассажир,Моторизированный ремень безопасности,2,89,1216,comp
Nissan,200sx,664,37,740,89,Пассажир,Ручной ремень безопасности,2,87,1242,comp
Nissan,300zx,nd,47,1415,1552,Пассажир,Подушка безопасности у водителя ,2,91,1508,med
Nissan,Axxess,654,46,1266,1143,Пассажир,Пассивный ремень безопасности,-,90,1378,van
Nissan,Maxima,736,44,664,1043,Пассажир,Моторизированный ремень безопасности,4,89,1433,med
Nissan,Maxima SE,861,49,1500,1049,Пассажир,Пассивный ремень безопасности,4,88,1456,med
Nissan,NL Xev Pickup,1242,53,609,198,Пассажир,Ручной ремень безопасности,-,88,1193,pu
Nissan,Pickup,1244,45,531,617,Пассажир,Ручной ремень безопасности,-,87,1231,pu
Nissan,Pickup,965,35,nd,332,Пассажир,Ручной ремень безопасности,-,89,1211,pu
Nissan,Pulsar Nx,430,31,122,1742,Пассажир,Ручной ремень безопасности,2,88,1125,lt
Nissan,Sentra,799,nd,615,415,Пассажир,Ручной ремень безопасности,4,87,1041,lt
Nissan,Sentra,526,42,686,853,Пассажир,Ручной ремень безопасности,4,88,1056,lt
Nissan,Sentra,681,45,1210,nd,Пассажир,Моторизированный ремень безопасности,2,91,1098,lt
Nissan,Stanza,629,47,1205,744,Пассажир,Моторизированный ремень безопасности,4,90,1266,comp
Nissan,Stanza,nd,nd,971,558,Пассажир,Моторизированный ремень безопасности,4,91,1243,comp
Nissan,Van Xe,597,36,1708,1331,Пассажир,Ручной ремень безопасности,-,88,1615,van
Oldsmobile,Calais,328,40,1737,555,Пассажир,Пассивный ремень безопасности,4,87,1202,comp
Oldsmobile,Delta 88,539,38,2119,593,Пассажир,Подушка безопасности у водителя ,4,88,1569,med
Peugeot,505S,2192,77,839,554,Пассажир,Моторизированный ремень безопасности,4,89,1365,med
Peugeot,505,1786,50,546,176,Пассажир,Ручной ремень безопасности,4,87,1315,comp
Peugeot,505 GLS,157,45,930,328,Пассажир,Пассивный ремень безопасности,4,88,1393,med
Plymouth,Acclaim,810,50,1552,873,Пассажир,Ручной ремень безопасности,4,89,1279,comp
Plymouth,Acclaim,446,43,891,1117,Пассажир,Подушка безопасности у водителя ,4,91,1297,comp
Plymouth,Sundance,nd,41,832,540,Пассажир,Ручной ремень безопасности,4,87,1170,comp
Plymouth,Voyager,501,47,1595,275,Пассажир,Ручной ремень безопасности,-,87,1379,van
Pontiac,Grand Am,601,41,1848,529,Пассажир,Пассивный ремень безопасности,2,87,1148,comp
Pontiac,Le Mans,897,44,792,389,Пассажир,Ручной ремень безопасности,2,88,998,lt
Pontiac,Sunbird,404,37,1079,211,Пассажир,Ручной ремень безопасности,4,87,1095,lt
Pontiac,Trans Sport,595,37,253,287,Пассажир,Ручной ремень безопасности,-,90,1696,van
Renault,Medallion,873,38,617,1193,Пассажир,Ручной ремень безопасности,4,88,1207,comp
Saab,900S,1250,35,1395,1535,Пассажир,Пассивный ремень безопасности,2,88,1288,comp
Saab,9000,440,35,346,638,Пассажир,Ручной ремень безопасности,4,87,1356,comp
Saturn,SL2,1018,46,1326,974,Пассажир,Моторизированный ремень безопасности,4,91,1113,lt
Subaru,GL,884,44,694,309,Пассажир,Ручной ремень безопасности,4,87,1022,lt
Subaru,Justy DL,547,38,1256,426,Пассажир,Ручной ремень безопасности,2,87,753,mini
Subaru,Legacy,675,44,1899,1121,Пассажир,Моторизированный ремень безопасности,4,90,1197,comp
Suzuki,Sidekick 4x4,1763,70,1860,2259,Пассажир,Ручной ремень безопасности,2,89,1048,mpv
Suzuki,Sidekick 4x4,2017,55,1283,1252,Пассажир,Ручной ремень безопасности,2,91,1199,mpv
Toyota,4-Runner 4x4,1133,47,1429,320,Пассажир,Ручной ремень безопасности,4,90,1751,mpv
Toyota,Camry,973,46,1200,1167,Пассажир,Пассивный ремень безопасности,4,87,1261,comp
Toyota,Celica,685,37,1190,609,Пассажир,Подушка безопасности у водителя ,2,90,1116,lt
Toyota,Corolla Fx,397,40,1162,393,Пассажир,Ручной ремень безопасности,2,88,1052,lt
Toyota,Corolla,546,45,894,681,Пассажир,Ручной ремень безопасности,4,89,1075,lt
Toyota,Corolla,613,nd,917,1469,Пассажир,Пассивный ремень безопасности,4,91,1091,lt
Toyota,Cressida,544,51,1554,1107,Пассажир,Моторизированный ремень безопасности,4,89,1565,med
Toyota,Pickup,699,39,500,532,Пассажир,Ручной ремень безопасности,-,87,1138,pu
Toyota,Pickup,883,46,614,493,Пассажир,Ручной ремень безопасности,-,89,1153,pu
Toyota,Pickup 4x4,808,50,nd,781,Пассажир,Ручной ремень безопасности,-,91,1490,pu
Toyota,Previa,790,47,322,560,Пассажир,Ручной ремень безопасности,-,91,1652,van
Toyota,Tercel,398,42,572,261,Пассажир,Ручной ремень безопасности,2,88,953,lt
Toyota,Tercel,729,51,1325,949,Пассажир,Пассивный ремень безопасности,4,91,962,lt
Toyota,Van,530,54,2741,847,Пассажир,Ручной ремень безопасности,-,89,1486,van
Volkswagen,Fox,2140,52,723,450,Пассажир,Ручной ремень безопасности,2,87,971,lt
Volkswagen,Fox,1424,44,nd,478,Пассажир,Ручной ремень безопасности,2,88,998,lt
Volkswagen,Fox,818,58,738,508,Пассажир,Ручной ремень безопасности,2,89,975,lt
Volkswagen,Passat,604,46,1154,2474,Пассажир,Моторизированный ремень безопасности,4,90,1356,comp
Volkswagen,Vanagon GL,899,48,1963,1014,Пассажир,Ручной ремень безопасности,-,88,1597,van
Volvo,740 GLE,445,42,1793,634,Пассажир,Подушка безопасности у водителя ,4,88,1365,med
Yugo,GV,379,41,585,172,Пассажир,Ручной ремень безопасности,2,87,839,mini
